rank,level,word,phonetic,meaning,full_meaning,example,source
1,,two-point,,n.二点[网络]二点交叉；两点侦测；两点法                                two-point,n.二点[网络]二点交叉；两点侦测；两点法                                two-point,,
2,GRE,symbiosis,/ˌsɪmbaɪˈoʊsɪs/,n.[生态] 共生；合作关系；共栖共生 ，共栖,n.[生态] 共生；合作关系；共栖共生 ，共栖,,
3,,insincere,/ˌɪnsɪnˈsɪr/,adj.不诚实的；虚假的不真诚的 ，虚伪的,adj.不诚实的；虚假的不真诚的 ，虚伪的,,
4,GRE,unobtrusive,/ˌʌnəbˈtruːsɪv/,adj.不唐突的；谦虚的；不引人注目的谦虚的 ，不突出的 ，不显眼的,adj.不唐突的；谦虚的；不引人注目的谦虚的 ，不突出的 ，不显眼的,,
5,,seven-day,,七天的持续一周的                                 seven-day,七天的持续一周的                                 seven-day,,
6,,viola,/viˈoʊlə/,n.中提琴，中提琴演奏者中提琴,n.中提琴，中提琴演奏者中提琴,,
7,,servicing,/ˈsɜːrvɪsɪŋ/,"n.维修v.为…服务（service的ing形式）原型:servicing 是 service 的现在分词维修 ，动词service的现在分词形式.                  service, 检修, 维修, 保养, -ing, 动名词后缀.               servicing","n.维修v.为…服务（service的ing形式）原型:servicing 是 service 的现在分词维修 ，动词service的现在分词形式.                  service, 检修, 维修, 保养, -ing, 动名词后缀.               servicing",,
8,,government-sponsored,/ˌɡʌv.ən.məntˈspɒnt.səd/,政府资助政府支持政府支持的                        adjectiveuk us/ˌɡʌv.ɚn.məntˈspɑːnt.sɚd/   relating to activities that are supported or paid for by a government（活动）受政府支持的，受政府资助的,政府资助政府支持政府支持的                        adjectiveuk us/ˌɡʌv.ɚn.məntˈspɑːnt.sɚd/   relating to activities that are supported or paid for by a government（活动）受政府支持的，受政府资助的,,
9,,granddaddy,/ˈɡrændædi/,n.祖父；外公；爷爷                                granddaddy,n.祖父；外公；爷爷                                granddaddy,,
10,,shapeless,/ˈʃeɪpləs/,"adj.不成形的；不定形的；不象样的无形状的 ，不象样的                  shape, 形状, -less, 无, 没有.      adjectiveuk/ˈʃeɪp.ləs/ us/ˈʃeɪp.ləs/   without a clear form or structure不成形的，没有形状的","adj.不成形的；不定形的；不象样的无形状的 ，不象样的                  shape, 形状, -less, 无, 没有.      adjectiveuk/ˈʃeɪp.ləs/ us/ˈʃeɪp.ləs/   without a clear form or structure不成形的，没有形状的",,
